timestamp,epoch,elapsed_s,tag,combustion_count,combustion_rss_kb,combustion_vsz_kb,combustion_pcpu_sum,combustion_pmem_sum,mpi_count,mpi_rss_kb,mpi_vsz_kb,mpi_pcpu_sum,mpi_pmem_sum,mem_total_kb,mem_available_kb,mem_used_pct,load1,load5,load15
2026-07-02T16:38:33+02:00,1783003113,1,periodic,120,1000120,57963304,0.00,0.00,1,20152,470164,54.00,0.00,4215003640,4191349284,0.56,0.00,0.00,0.00
2026-07-02T16:44:51+02:00,1783003491,379,heartbeat,256,949691916,1135989584,24798.90,0.00,1,20240,470180,0.30,0.00,4215003640,3393848944,19.48,255.51,182.99,85.02
2026-07-02T16:49:50+02:00,1783003790,678,heartbeat,256,1277728284,1463628684,25135.50,25.40,1,20240,470180,0.10,0.00,4215003640,3065386944,27.27,256.00,229.29,132.25
2026-07-02T16:54:43+02:00,1783004083,971,heartbeat,256,1460684520,1646260292,25263.60,25.50,1,20240,470180,0.10,0.00,4215003640,2882123740,31.62,256.09,246.10,165.97
2026-07-02T16:58:33+02:00,1783004313,1201,periodic,256,1514140560,1699615360,25329.50,25.50,1,20240,470180,0.10,0.00,4215003640,2829008100,32.88,256.00,251.42,185.73
2026-07-02T16:59:46+02:00,1783004386,1274,heartbeat,256,1565221532,1750627088,25336.80,25.60,1,20240,470180,0.10,0.00,4215003640,2777730452,34.10,256.16,252.42,190.85
2026-07-02T17:04:49+02:00,1783004689,1577,heartbeat,256,1620496908,1805800668,25383.40,25.60,1,20240,470180,0.00,0.00,4215003640,2722351692,35.41,256.14,254.76,209.12
2026-07-02T17:09:49+02:00,1783004989,1877,heartbeat,256,1788105700,1973157840,25418.00,25.60,1,20240,470180,0.00,0.00,4215003640,2554616488,39.39,256.11,255.61,222.10
2026-07-02T17:14:45+02:00,1783005285,2173,heartbeat,256,1855766412,2040762448,25446.40,25.60,1,20240,470180,0.00,0.00,4215003640,2486915104,41.00,256.11,255.93,231.37
2026-07-02T17:18:34+02:00,1783005514,2402,periodic,256,1971792092,2156648604,25453.50,25.70,1,20240,470180,0.00,0.00,4215003640,2370915240,43.75,256.00,255.98,236.79
