# wall_epoch time rank loops bip2 bip3 fires ones nofires graph_nodes nhot pending_actions graph_edges local_pending incoming_pending outgoing_pending global_physical_msgs nTickSend nFullSend
1777798224 0.150000 1 0 150 62 27 23 12 28 15 14 39 0 14 0 13 13 0
1777798224 0.150000 1 0 300 170 116 38 16 87 6 5 46 12 5 79 26 25 1
1777798224 0.150000 1 0 450 230 164 45 21 103 156 155 105 28 155 28 38 37 1
1777798224 0.150000 1 0 600 296 210 54 32 115 6 5 132 64 5 129 44 43 1
1777798224 0.166667 1 0 750 346 244 64 38 149 316 315 201 4 315 19 56 55 1
1777798224 0.166667 1 0 900 457 293 86 78 151 166 165 199 29 165 75 63 62 1
1777798224 0.166667 1 0 1050 539 337 108 94 166 16 15 215 77 15 105 71 70 1
1777798224 0.166667 1 0 1200 602 378 124 100 207 47 46 222 29 46 65 80 79 1
1777798224 0.166667 1 0 1350 678 433 131 114 263 1 0 261 25 0 40 96 95 1
1777798224 0.166667 1 0 1500 755 496 145 114 298 12 11 288 23 11 26 105 104 1
1777798224 0.166667 1 0 1650 841 529 162 150 309 17 16 308 20 16 62 112 111 1
1777798224 0.166667 1 0 1800 898 582 166 150 358 2 1 334 25 1 32 125 124 1
1777798224 0.166667 1 0 1950 983 663 170 150 406 227 226 369 47 226 56 134 132 2
1777798224 0.166667 1 0 2100 1047 718 179 150 428 77 76 389 117 76 144 140 138 2
1777798224 0.166667 1 0 2250 1082 753 179 150 439 45 44 454 55 44 68 148 146 2
1777798224 0.166667 1 0 2400 1167 834 183 150 471 411 410 463 86 410 134 155 153 2
1777798224 0.166667 1 0 2550 1243 874 195 174 484 261 260 485 135 260 166 163 160 3
1777798224 0.166667 1 0 2700 1296 923 199 174 498 111 110 503 155 110 210 170 167 3
1777798224 0.166667 1 0 2850 1362 989 199 174 508 161 160 525 33 160 67 178 175 3
1777798224 0.166667 1 0 3000 1436 1062 200 174 523 11 10 527 102 10 143 184 181 3
1777798224 0.166667 1 0 3150 1490 1116 200 174 546 90 89 574 4 89 29 193 190 3
1777798224 0.166667 1 0 3300 1522 1148 200 174 560 1 0 616 6 0 21 201 198 3
1777798224 0.166667 1 0 3450 1614 1184 220 210 583 23 22 636 0 22 0 210 207 3
1777798224 0.166667 1 0 3600 1686 1220 232 234 612 333 332 686 30 332 48 218 215 3
1777798224 0.166667 1 0 3750 1755 1273 236 246 632 183 182 705 88 182 110 225 222 3
1777798224 0.166667 1 0 3900 1810 1328 236 246 664 33 32 723 125 32 140 231 228 3
1777798224 0.166667 1 0 4050 1851 1361 244 246 702 13 12 774 55 12 59 239 236 3
1777798224 0.183333 1 0 4200 1952 1406 264 282 736 42 41 781 38 41 54 248 245 3
1777798224 0.183333 1 0 4350 2012 1418 276 318 751 115 114 835 2 114 27 254 251 3
1777798224 0.183333 1 0 4500 2086 1460 284 342 781 7 6 861 0 6 0 262 258 4
1777798224 0.183333 1 0 4650 2130 1504 284 342 825 289 288 904 30 288 49 271 267 4
1777798224 0.183333 1 0 4800 2226 1552 296 378 856 139 138 912 70 138 109 277 273 4
1777798224 0.183333 1 0 4950 2258 1584 296 378 903 93 92 972 0 92 0 288 284 4
1777798224 0.183333 1 0 5100 2340 1634 304 402 941 571 570 998 21 570 59 294 290 4
1777798224 0.183333 1 0 5250 2416 1694 308 414 971 421 420 999 75 420 127 302 298 4
1777798224 0.183333 1 0 5400 2462 1740 308 414 996 271 270 1036 131 270 144 309 305 4
1777798224 0.183333 1 0 5550 2529 1774 317 438 1017 121 120 1067 154 120 160 316 312 4
1777798224 0.183333 1 0 5700 2567 1812 317 438 1044 151 150 1106 6 150 42 323 319 4
1777798224 0.183333 1 0 5850 2621 1862 321 438 1087 1 0 1130 59 0 68 330 326 4
1777798224 0.200000 1 0 6000 2745 1950 333 462 1108 554 553 1125 57 553 95 337 331 6
1777798224 0.200000 1 0 6150 2782 1987 333 462 1157 404 403 1169 78 403 100 343 337 6
1777798224 0.200000 1 0 6300 2822 2023 337 462 1179 254 253 1213 113 253 152 351 345 6
1777798224 0.200000 1 0 6450 2879 2080 337 462 1203 104 103 1239 133 103 189 358 351 7
1777798224 0.200000 1 0 6600 2974 2155 345 474 1240 146 145 1239 12 145 57 365 358 7
1777798224 0.200000 1 0 6750 3037 2186 353 498 1270 175 174 1275 0 174 0 374 367 7
1777798224 0.200000 1 0 6900 3113 2246 357 510 1313 25 24 1301 32 24 39 380 373 7
1777798224 0.200000 1 0 7050 3158 2275 361 522 1350 439 438 1352 16 438 35 389 382 7
1777798224 0.200000 1 0 7200 3209 2306 369 534 1381 289 288 1397 44 288 52 396 389 7
1777798224 0.200000 1 0 7350 3269 2366 369 534 1397 139 138 1414 82 138 122 402 395 7
1777798224 0.200000 1 0 7500 3308 2389 373 546 1411 89 88 1464 6 88 13 411 404 7
1777798224 0.200000 1 0 7650 3383 2448 377 558 1464 204 203 1506 12 203 35 418 411 7
1777798224 0.200000 1 0 7800 3438 2503 377 558 1498 54 53 1529 53 53 56 426 419 7
1777798224 0.200000 1 0 7950 3476 2541 377 558 1536 49 48 1573 13 48 65 433 426 7
1777798224 0.200000 1 0 8100 3509 2574 377 558 1565 92 91 1623 22 91 45 442 435 7
1777798224 0.200000 1 0 8250 3542 2607 377 558 1597 65 64 1670 0 64 0 448 441 7
1777798224 0.216667 1 0 8400 3594 2643 381 570 1619 413 412 1701 21 412 63 455 448 7
1777798224 0.216667 1 0 8550 3660 2709 381 570 1661 263 262 1728 71 262 97 462 454 8
1777798224 0.216667 1 0 8700 3718 2767 381 570 1708 113 112 1761 104 112 125 469 461 8
1777798224 0.216667 1 0 8850 3790 2823 385 582 1745 99 98 1775 22 98 69 475 467 8
1777798224 0.216667 1 0 9000 3847 2880 385 582 1786 400 399 1796 25 399 52 482 474 8
1777798224 0.216667 1 0 9150 3905 2938 385 582 1815 250 249 1820 68 249 82 489 480 9
1777798224 0.216667 1 0 9300 3992 3009 389 594 1858 100 99 1820 141 99 171 495 485 10
1777798224 0.216667 1 0 9450 4027 3044 389 594 1883 103 102 1869 13 102 60 503 493 10
1777798224 0.216667 1 0 9600 4062 3078 390 594 1911 140 139 1919 6 139 34 510 500 10
1777798224 0.216667 1 0 9750 4118 3118 394 606 1936 35 34 1942 0 34 0 520 509 11
1777798224 0.216667 1 0 9900 4141 3141 394 606 1948 272 271 2001 20 271 49 524 513 11
1777798224 0.216667 1 0 10050 4192 3191 395 606 1982 122 121 2028 60 121 88 531 520 11
1777798224 0.216667 1 0 10200 4253 3236 399 618 1997 43 42 2058 25 42 51 539 528 11
1777798224 0.233333 1 0 10350 4288 3271 399 618 2039 618 617 2102 15 617 40 546 535 11
