# wall_epoch time rank loops bip2 bip3 fires ones nofires graph_nodes nhot fra_hot pending_actions graph_edges local_pending incoming_pending outgoing_pending global_physical_msgs nTickSend nFullSend
1777656211 0.116667 1 0 150 78 31 33 14 26 8 8 7 18 0 7 0 27 27 0
1777656211 0.116667 1 0 300 143 85 44 14 60 13 13 12 37 5 12 13 38 38 0
1777656211 0.133333 1 0 450 196 132 48 16 85 10 10 9 86 51 9 71 45 45 0
1777656211 0.133333 1 0 600 249 171 58 20 143 216 216 215 127 2 215 6 59 59 0
1777656211 0.133333 1 0 750 317 217 76 24 142 66 66 65 139 27 65 48 65 65 0
1777656211 0.133333 1 0 900 368 259 85 24 188 81 81 80 187 4 80 34 74 74 0
1777656211 0.133333 1 0 1050 417 278 101 38 200 21 21 20 225 8 20 18 83 83 0
1777656211 0.150000 1 0 1200 489 326 109 54 234 173 173 172 260 27 172 34 92 91 1
1777656211 0.150000 1 0 1350 557 381 120 56 246 23 23 22 279 42 22 86 98 96 2
1777656211 0.150000 1 0 1500 680 476 134 70 309 10 10 9 270 48 9 104 108 103 5
1777656211 0.150000 1 0 1650 757 529 146 82 329 105 105 104 312 12 104 48 117 112 5
1777656211 0.150000 1 0 1800 800 567 151 82 349 195 195 194 316 0 194 18 126 121 5
1777656211 0.150000 1 0 1950 838 593 163 82 350 45 45 44 356 27 44 67 132 127 5
1777656211 0.150000 1 0 2100 872 623 167 82 386 55 55 54 405 9 54 22 143 138 5
1777656211 0.150000 1 0 2250 897 643 172 82 411 6 6 5 469 5 5 9 149 144 5
1777656211 0.150000 1 0 2400 988 713 181 94 464 184 184 183 470 49 183 84 161 156 5
1777656211 0.150000 1 0 2550 1066 775 185 106 471 34 34 33 476 104 33 110 168 162 6
1777656211 0.150000 1 0 2700 1120 822 192 106 521 180 180 179 500 2 179 13 177 171 6
1777656211 0.150000 1 0 2850 1170 871 193 106 525 30 30 29 525 41 29 59 183 177 6
1777656211 0.150000 1 0 3000 1204 885 201 118 547 3 3 2 581 4 2 17 192 186 6
1777656211 0.150000 1 0 3150 1290 950 210 130 619 281 281 280 630 43 280 57 201 195 6
1777656211 0.150000 1 0 3300 1357 1017 210 130 627 131 131 130 612 126 130 143 208 202 6
1777656211 0.150000 1 0 3450 1453 1065 234 154 669 144 144 143 653 10 143 20 217 211 6
1777656211 0.150000 1 0 3600 1509 1101 242 166 725 369 369 368 674 5 368 8 226 220 6
1777656211 0.150000 1 0 3750 1576 1168 242 166 730 219 219 218 688 83 218 111 232 226 6
1777656211 0.150000 1 0 3900 1637 1212 247 178 733 69 69 68 716 112 68 125 239 233 6
1777656211 0.150000 1 0 4050 1666 1241 247 178 762 37 37 36 777 16 36 27 248 242 6
1777656211 0.150000 1 0 4200 1706 1278 250 178 808 223 223 222 809 11 222 34 255 249 6
1777656211 0.150000 1 0 4350 1783 1331 262 190 811 73 73 72 809 47 72 118 261 255 6
1777656211 0.150000 1 0 4500 1811 1359 262 190 841 44 44 43 855 1 43 5 270 264 6
1777656211 0.166667 1 0 4650 1866 1394 270 202 867 76 76 75 903 17 75 53 277 271 6
