# wall_epoch time rank loops bip2 bip3 fires ones nofires graph_nodes nhot fra_hot pending_actions graph_edges local_pending incoming_pending outgoing_pending global_physical_msgs nTickSend nFullSend
1777656211 0.116667 0 0 150 123 58 36 29 22 27 27 26 15 8 26 14 9 9 0
1777656211 0.116667 0 0 300 215 108 69 38 46 59 59 58 29 8 58 15 23 23 0
1777656211 0.116667 0 0 450 295 162 84 49 58 14 14 13 58 12 13 22 32 32 0
1777656211 0.116667 0 0 600 408 236 103 69 108 8 8 7 89 16 7 32 50 50 0
1777656211 0.133333 0 0 750 454 264 113 77 118 27 27 26 132 17 26 24 58 58 0
1777656211 0.133333 0 0 900 535 285 135 115 129 13 13 12 159 2 12 4 67 67 0
1777656211 0.133333 0 0 1050 644 389 140 115 176 143 143 142 165 86 142 112 76 76 0
1777656211 0.133333 0 0 1200 711 441 151 119 200 109 109 108 196 0 108 8 85 85 0
1777656211 0.133333 0 0 1350 812 501 166 145 222 75 75 74 201 4 74 38 91 91 0
1777656211 0.133333 0 0 1500 855 538 170 147 245 216 216 215 260 0 215 0 99 99 0
1777656211 0.133333 0 0 1650 929 584 184 161 253 66 66 65 277 48 65 68 106 106 0
1777656211 0.133333 0 0 1800 1045 650 206 189 284 116 116 115 279 5 115 19 118 118 0
1777656211 0.133333 0 0 1950 1118 690 235 193 304 7 7 6 312 6 6 40 124 124 0
1777656211 0.133333 0 0 2100 1167 723 239 205 362 340 340 339 340 11 339 26 135 135 0
1777656211 0.133333 0 0 2250 1230 750 249 231 357 190 190 189 381 33 189 66 141 141 0
1777656211 0.133333 0 0 2400 1296 811 254 231 372 40 40 39 410 91 39 102 150 150 0
1777656211 0.133333 0 0 2550 1364 839 270 255 410 114 114 113 447 0 113 0 159 159 0
1777656211 0.133333 0 0 2700 1434 889 278 267 429 4 4 3 475 5 3 21 166 166 0
1777656211 0.133333 0 0 2850 1496 934 283 279 480 24 24 23 516 0 23 0 178 178 0
1777656211 0.133333 0 0 3000 1563 969 291 303 536 197 197 196 564 41 196 42 187 187 0
1777656211 0.133333 0 0 3150 1615 1005 295 315 537 47 47 46 595 71 46 80 193 193 0
1777656211 0.150000 0 0 3300 1698 1051 320 327 620 377 377 376 624 32 376 32 205 205 0
1777656211 0.150000 0 0 3450 1790 1126 325 339 620 227 227 226 621 105 226 145 212 212 0
1777656211 0.150000 0 0 3600 1836 1156 329 351 619 77 77 76 661 113 76 121 219 219 0
1777656211 0.150000 0 0 3750 1924 1220 341 363 653 82 82 81 683 24 81 38 228 228 0
1777656211 0.150000 0 0 3900 2005 1284 346 375 705 247 247 246 709 13 246 24 237 237 0
1777656211 0.150000 0 0 4050 2048 1327 346 375 706 97 97 96 741 37 96 39 243 243 0
1777656211 0.150000 0 0 4200 2103 1375 353 375 740 49 49 48 783 9 48 39 251 251 0
1777656211 0.150000 0 0 4350 2161 1417 357 387 782 172 172 171 817 39 171 67 260 260 0
1777656211 0.150000 0 0 4500 2200 1452 361 387 789 22 22 21 862 73 21 90 266 266 0
1777656211 0.150000 0 0 4650 2244 1480 365 399 997 954 954 953 926 7 953 22 277 277 0
1777656211 0.150000 0 0 4800 2333 1565 369 399 999 804 804 803 933 129 803 157 284 284 0
1777656211 0.150000 0 0 4950 2390 1622 369 399 995 654 654 653 954 166 653 208 291 291 0
1777656211 0.150000 0 0 5100 2429 1661 369 399 993 504 504 503 986 185 503 193 299 299 0
1777656211 0.150000 0 0 5250 2487 1703 373 411 1023 554 554 553 1027 13 553 41 306 306 0
1777656211 0.150000 0 0 5400 2513 1723 379 411 1019 404 404 403 1085 34 403 42 312 312 0
1777656211 0.150000 0 0 5550 2551 1747 393 411 1014 254 254 253 1131 68 253 88 320 320 0
1777656211 0.150000 0 0 5700 2634 1826 397 411 1034 198 198 197 1166 43 197 48 329 329 0
1777656211 0.150000 0 0 5850 2717 1897 409 411 1032 48 48 47 1165 109 47 153 335 335 0
1777656211 0.166667 0 0 6000 2822 2002 409 411 1061 43 43 42 1178 53 42 80 344 343 1
1777656211 0.166667 0 0 6150 2875 2055 409 411 1085 2 2 1 1209 13 1 13 354 353 1
1777656211 0.166667 0 0 6300 2934 2114 409 411 1134 303 303 302 1201 18 302 41 362 361 1
1777656211 0.166667 0 0 6450 3011 2156 420 435 1156 153 153 152 1238 47 152 77 369 368 1
1777656211 0.166667 0 0 6600 3068 2212 421 435 1170 3 3 2 1274 76 2 82 377 376 1
1777656211 0.166667 0 0 6750 3122 2266 421 435 1230 218 218 217 1296 19 217 20 388 387 1
1777656211 0.166667 0 0 6900 3169 2293 429 447 1232 68 68 67 1343 48 67 63 394 393 1
1777656211 0.166667 0 0 7050 3214 2322 433 459 1329 450 450 449 1393 0 449 1 403 402 1
