# wall_epoch time rank loops bip2 bip3 fires ones nofires graph_nodes nhot fra_hot pending_actions graph_edges local_pending incoming_pending outgoing_pending global_physical_msgs nTickSend nFullSend
1777656211 0.183333 2 0 8400 3272 2588 318 366 1674 117 117 116 1788 0 116 2 480 474 6
1777656211 0.183333 2 0 8550 3315 2615 322 378 1724 203 203 202 1828 2 202 34 488 482 6
1777656211 0.183333 2 0 8700 3396 2696 322 378 1743 53 53 52 1824 87 52 105 496 490 6
1777656211 0.183333 2 0 8850 3423 2723 322 378 1771 12 12 11 1879 0 11 0 507 501 6
1777656211 0.200000 2 0 9000 3461 2761 322 378 1810 275 275 274 1921 16 274 31 514 508 6
1777656211 0.200000 2 0 9150 3523 2823 322 378 1821 125 125 124 1939 45 124 77 522 516 6
1777656211 0.200000 2 0 9300 3568 2864 326 378 1832 44 44 43 1962 8 43 31 529 523 6
1777656211 0.200000 2 0 9450 3616 2912 326 378 1893 226 226 225 1995 14 225 57 539 533 6
1777656211 0.200000 2 0 9600 3675 2971 326 378 1903 76 76 75 1998 54 75 86 547 541 6
1777656211 0.200000 2 0 9750 3699 2995 326 378 2041 600 600 599 2056 0 599 0 556 550 6
1777656211 0.200000 2 0 9900 3739 3035 326 378 2039 450 450 449 2104 30 449 55 563 557 6
1777656211 0.200000 2 0 10050 3787 3063 334 390 2038 300 300 299 2141 55 299 93 571 565 6
1777656211 0.200000 2 0 10200 3843 3119 334 390 2037 150 150 149 2157 99 149 136 578 571 7
1777656211 0.200000 2 0 10350 3868 3140 338 390 2069 124 124 123 2213 0 123 0 587 580 7
1777656211 0.200000 2 0 10500 3937 3189 346 402 2180 519 519 518 2227 9 518 39 596 589 7
1777656211 0.200000 2 0 10650 4007 3243 350 414 2181 369 369 368 2242 55 368 106 603 596 7
1777656211 0.200000 2 0 10800 4052 3288 350 414 2183 219 219 218 2292 80 218 111 612 605 7
1777656211 0.200000 2 0 10950 4096 3316 354 426 2189 69 69 68 2344 98 68 105 621 614 7
1777656211 0.200000 2 0 11100 4170 3390 354 426 2226 42 42 41 2361 55 41 90 630 623 7
1777656211 0.216667 2 0 11250 4241 3437 366 438 2285 252 252 251 2376 51 251 87 638 631 7
1777656211 0.216667 2 0 11400 4289 3465 374 450 2281 102 102 101 2409 75 101 75 646 639 7
1777656211 0.216667 2 0 11550 4330 3490 378 462 2303 31 31 30 2474 8 30 37 654 647 7
1777656211 0.216667 2 0 11700 4383 3543 378 462 2429 493 493 492 2487 27 492 66 662 655 7
1777656211 0.216667 2 0 11850 4448 3604 382 462 2442 343 343 342 2502 80 342 93 672 665 7
1777656211 0.216667 2 0 12000 4503 3643 386 474 2442 193 193 192 2526 117 192 135 680 673 7
1777656211 0.216667 2 0 12150 4530 3670 386 474 2445 43 43 42 2576 133 42 145 689 682 7
1777656211 0.216667 2 0 12300 4574 3710 390 474 2488 37 37 36 2610 25 36 47 698 691 7
1777656211 0.216667 2 0 12450 4606 3738 394 474 2537 105 105 104 2663 20 104 52 707 700 7
1777656211 0.216667 2 0 12600 4647 3775 398 474 2569 1 1 0 2712 13 0 18 716 709 7
1777656211 0.216667 2 0 12750 4684 3812 398 474 2604 89 89 88 2758 2 88 53 724 717 7
1777656211 0.216667 2 0 12900 4732 3844 402 486 2641 77 77 76 2806 7 76 11 735 728 7
1777656211 0.216667 2 0 13050 4782 3874 410 498 2665 6 6 5 2854 11 5 46 745 738 7
1777656211 0.233333 2 0 13200 4852 3932 416 504 2795 564 564 563 2866 26 563 28 760 753 7
1777656211 0.233333 2 0 13350 4916 3988 418 510 2806 414 414 413 2885 80 413 104 768 761 7
1777656211 0.233333 2 0 13500 4977 4045 422 510 2820 264 264 263 2911 132 263 136 777 770 7
1777656211 0.233333 2 0 13650 5022 4090 422 510 2827 114 114 113 2949 169 113 198 785 778 7
1777656211 0.233333 2 0 13800 5059 4127 422 510 2876 164 164 163 2995 19 163 47 794 787 7
1777656211 0.233333 2 0 13950 5120 4172 426 522 2885 14 14 13 3024 80 13 102 802 795 7
1777656211 0.233333 2 0 14100 5166 4202 430 534 3030 537 537 536 3067 23 536 50 811 804 7
1777656211 0.233333 2 0 14250 5214 4250 430 534 3031 387 387 386 3091 78 386 85 820 813 7
1777656211 0.233333 2 0 14400 5302 4322 434 546 3046 237 237 236 3101 126 236 150 828 820 8
1777656211 0.233333 2 0 14550 5343 4347 438 558 3046 87 87 86 3149 141 86 145 837 829 8
1777656211 0.250000 2 0 14700 5375 4379 438 558 3087 89 89 88 3195 23 88 51 844 836 8
1777656211 0.250000 2 0 14850 5437 4441 438 558 3185 636 636 635 3227 9 635 27 856 848 8
1777656211 0.250000 2 0 15000 5494 4498 438 558 3185 486 486 485 3241 74 485 99 865 857 8
1777656211 0.250000 2 0 15150 5551 4555 438 558 3194 336 336 335 3273 97 335 110 875 867 8
1777656211 0.250000 2 0 15300 5621 4625 438 558 3205 186 186 185 3283 119 185 158 883 875 8
1777656211 0.250000 2 0 15450 5663 4663 442 558 3209 36 36 35 3322 145 35 156 892 884 8
1777656211 0.250000 2 0 15600 5690 4690 442 558 3240 32 32 31 3368 21 31 55 901 893 8
1777656211 0.250000 2 0 15750 5760 4760 442 558 3343 579 579 578 3378 60 578 101 911 903 8
1777656211 0.250000 2 0 15900 5834 4814 450 570 3341 429 429 428 3395 122 428 128 920 912 8
1777656211 0.250000 2 0 16050 5924 4900 454 570 3356 279 279 278 3393 179 278 226 928 920 8
1777656211 0.250000 2 0 16200 5961 4921 458 582 3359 129 129 128 3446 198 128 200 937 929 8
1777656211 0.250000 2 0 16350 6023 4983 458 582 3397 179 179 178 3465 58 178 92 946 937 9
1777656211 0.250000 2 0 16500 6091 5035 462 594 3397 29 29 28 3501 100 28 119 955 946 9
1777656211 0.250000 2 0 16650 6139 5067 466 606 3460 249 249 248 3548 0 248 0 967 958 9
1777656211 0.250000 2 0 16800 6196 5108 470 618 3468 99 99 98 3580 49 98 79 974 965 9
1777656211 0.250000 2 0 16950 6242 5154 470 618 3488 19 19 18 3599 10 18 37 983 973 10
1777656211 0.250000 2 0 17100 6304 5200 474 630 3502 19 19 18 3625 33 18 65 992 982 10
1777656211 0.266667 2 0 17250 6334 5230 474 630 3650 812 812 811 3665 13 811 43 1001 991 10
1777656211 0.266667 2 0 17400 6391 5287 474 630 3650 662 662 661 3689 64 661 106 1009 999 10
1777656211 0.266667 2 0 17550 6440 5336 474 630 3657 512 512 511 3710 106 511 123 1019 1009 10
1777656211 0.266667 2 0 17700 6497 5393 474 630 3671 362 362 361 3731 147 361 184 1027 1017 10
1777656211 0.266667 2 0 17850 6554 5446 478 630 3683 212 212 211 3766 185 211 203 1035 1025 10
1777656211 0.266667 2 0 18000 6617 5493 482 642 3742 262 262 261 3794 18 261 38 1045 1035 10
1777656211 0.266667 2 0 18150 6655 5531 482 642 3742 112 112 111 3842 42 111 62 1054 1044 10
1777656211 0.266667 2 0 18300 6713 5573 486 654 3754 12 12 11 3883 32 11 55 1062 1052 10
1777656211 0.266667 2 0 18450 6777 5617 494 666 3871 388 388 387 3890 37 387 72 1071 1061 10
