# wall_epoch time rank loops bip2 bip3 fires ones nofires graph_nodes nhot fra_hot pending_actions graph_edges local_pending incoming_pending outgoing_pending global_physical_msgs nTickSend nFullSend
1777656211 0.116667 3 0 150 115 22 33 60 25 4 4 3 21 0 3 0 11 11 0
1777656211 0.116667 3 0 300 188 83 43 62 46 18 18 17 57 8 17 13 19 19 0
1777656211 0.116667 3 0 450 265 143 56 66 85 76 76 75 69 12 75 42 31 31 0
1777656211 0.133333 3 0 600 340 172 74 94 100 10 10 9 94 4 9 4 43 43 0
1777656211 0.133333 3 0 750 423 207 94 122 149 145 145 144 125 1 144 38 55 55 0
1777656211 0.133333 3 0 900 474 252 100 122 170 27 27 26 175 0 26 0 65 65 0
1777656211 0.133333 3 0 1050 553 303 114 136 196 106 106 105 199 43 105 68 72 72 0
1777656211 0.133333 3 0 1200 667 361 132 174 223 41 41 40 196 5 40 20 80 79 1
1777656211 0.133333 3 0 1350 721 407 138 176 254 82 82 81 231 38 81 40 89 88 1
1777656211 0.133333 3 0 1500 777 455 146 176 272 1 1 0 264 17 0 17 97 96 1
1777656211 0.133333 3 0 1650 847 517 154 176 295 28 28 27 262 46 27 115 103 101 2
1777656211 0.133333 3 0 1800 927 561 164 202 398 560 560 559 296 5 559 13 112 109 3
1777656211 0.150000 3 0 1950 969 599 168 202 394 410 410 409 341 48 409 60 118 115 3
1777656211 0.150000 3 0 2100 1006 636 168 202 393 260 260 259 406 76 259 93 126 123 3
1777656211 0.150000 3 0 2250 1065 675 176 214 382 110 110 109 407 127 109 153 132 129 3
1777656211 0.150000 3 0 2400 1135 733 185 217 418 111 111 110 416 23 110 75 141 138 3
1777656211 0.150000 3 0 2550 1236 782 204 250 430 46 46 45 412 1 45 13 150 147 3
1777656211 0.150000 3 0 2700 1291 833 208 250 481 325 325 324 451 7 324 7 163 160 3
1777656211 0.150000 3 0 2850 1346 887 209 250 477 175 175 174 466 27 174 58 169 166 3
1777656211 0.150000 3 0 3000 1408 945 213 250 493 25 25 24 481 81 24 116 176 173 3
1777656211 0.150000 3 0 3150 1522 995 229 298 544 152 152 151 483 17 151 49 186 183 3
1777656211 0.150000 3 0 3300 1575 1048 229 298 545 2 2 1 521 43 1 46 193 189 4
1777656211 0.150000 3 0 3450 1626 1095 233 298 623 315 315 314 588 17 314 39 202 198 4
1777656211 0.150000 3 0 3600 1693 1146 237 310 639 165 165 164 593 40 164 45 210 206 4
1777656211 0.150000 3 0 3750 1764 1208 246 310 644 15 15 14 608 61 14 86 217 213 4
1777656211 0.150000 3 0 3900 1821 1261 250 310 709 118 118 117 646 22 117 43 226 222 4
1777656211 0.150000 3 0 4050 1850 1290 250 310 724 13 13 12 703 0 12 0 232 228 4
1777656211 0.150000 3 0 4200 1915 1323 258 334 765 37 37 36 737 12 36 38 242 238 4
1777656211 0.150000 3 0 4350 1949 1357 258 334 800 88 88 87 783 24 87 41 251 247 4
1777656211 0.150000 3 0 4500 1982 1390 258 334 843 59 59 58 853 0 58 0 261 257 4
1777656211 0.150000 3 0 4650 2023 1431 258 334 878 9 9 8 916 16 8 60 267 263 4
1777656211 0.166667 3 0 4800 2045 1453 258 334 968 352 352 351 964 6 351 24 277 273 4
1777656211 0.166667 3 0 4950 2100 1504 262 334 975 202 202 201 979 58 201 74 284 280 4
1777656211 0.166667 3 0 5100 2186 1574 266 346 987 52 52 51 1023 116 51 159 291 286 5
1777656211 0.166667 3 0 5250 2217 1605 266 346 1019 25 25 24 1079 24 24 27 299 294 5
1777656211 0.166667 3 0 5400 2288 1676 266 346 1122 240 240 239 1094 64 239 89 307 302 5
1777656211 0.166667 3 0 5550 2331 1719 266 346 1128 90 90 89 1139 100 89 129 314 309 5
1777656211 0.166667 3 0 5700 2361 1749 266 346 1152 62 62 61 1195 16 61 27 321 316 5
1777656211 0.166667 3 0 5850 2408 1796 266 346 1224 301 301 300 1221 18 300 36 329 324 5
1777656211 0.166667 3 0 6000 2456 1844 266 346 1230 151 151 150 1255 53 150 84 336 331 5
1777656211 0.166667 3 0 6150 2486 1874 266 346 1235 1 1 0 1308 70 0 93 343 338 5
1777656211 0.183333 3 0 6300 2564 1936 270 358 1407 894 894 893 1334 27 893 43 353 348 5
1777656211 0.183333 3 0 6450 2632 2004 270 358 1402 744 744 743 1330 80 743 136 359 354 5
1777656211 0.183333 3 0 6600 2667 2038 271 358 1401 594 594 593 1374 119 593 142 367 362 5
1777656211 0.183333 3 0 6750 2741 2080 279 382 1398 444 444 443 1400 152 443 199 374 369 5
1777656211 0.183333 3 0 6900 2791 2130 279 382 1427 494 494 493 1419 4 493 34 381 376 5
1777656211 0.183333 3 0 7050 2844 2174 288 382 1429 344 344 343 1441 40 343 62 389 384 5
1777656211 0.183333 3 0 7200 2889 2211 296 382 1426 194 194 193 1485 63 193 106 395 390 5
1777656211 0.183333 3 0 7350 2954 2267 305 382 1437 112 112 111 1480 42 111 60 404 399 5
1777656211 0.183333 3 0 7500 3017 2330 305 382 1512 238 238 237 1502 3 237 21 412 407 5
1777656211 0.183333 3 0 7650 3050 2359 309 382 1515 88 88 87 1545 19 87 52 419 414 5
1777656211 0.183333 3 0 7800 3089 2394 313 382 1549 95 95 94 1599 4 94 25 430 425 5
1777656211 0.200000 3 0 7950 3117 2406 317 394 1747 918 918 917 1636 0 917 4 438 433 5
1777656211 0.200000 3 0 8100 3186 2443 325 418 1744 768 768 767 1663 35 767 72 445 440 5
1777656211 0.200000 3 0 8250 3251 2492 329 430 1741 618 618 617 1681 86 617 86 453 448 5
1777656211 0.200000 3 0 8400 3302 2543 329 430 1749 468 468 467 1705 112 467 145 459 454 5
1777656211 0.200000 3 0 8550 3385 2590 341 454 1744 318 318 317 1711 173 317 201 467 462 5
1777656211 0.200000 3 0 8700 3437 2642 341 454 1779 368 368 367 1748 28 367 56 473 468 5
1777656211 0.200000 3 0 8850 3463 2668 341 454 1776 218 218 217 1800 54 217 57 482 477 5
1777656211 0.200000 3 0 9000 3538 2711 349 478 1787 143 143 142 1819 18 142 68 489 484 5
1777656211 0.200000 3 0 9150 3581 2754 349 478 1929 822 822 821 1858 1 821 6 499 494 5
1777656211 0.200000 3 0 9300 3626 2799 349 478 1925 672 672 671 1886 46 671 89 506 501 5
1777656211 0.200000 3 0 9450 3690 2843 357 490 1925 522 522 521 1905 76 521 95 514 509 5
1777656211 0.200000 3 0 9600 3763 2912 361 490 1927 372 372 371 1927 91 371 133 522 516 6
1777656211 0.200000 3 0 9750 3804 2953 361 490 1920 222 222 221 1959 102 221 125 529 523 6
1777656211 0.200000 3 0 9900 3893 3018 373 502 1943 72 72 71 2039 136 71 179 537 531 6
1777656211 0.200000 3 0 10050 3958 3067 377 514 1973 79 79 78 2010 22 78 37 546 540 6
1777656211 0.200000 3 0 10200 4009 3118 377 514 2023 159 159 158 2036 13 158 17 555 549 6
1777656211 0.200000 3 0 10350 4065 3174 377 514 2036 9 9 8 2061 58 8 73 562 556 6
1777656211 0.216667 3 0 10500 4103 3208 381 514 2130 375 375 374 2109 5 374 30 571 565 6
1777656211 0.216667 3 0 10650 4131 3236 381 514 2139 225 225 224 2163 35 224 59 578 572 6
1777656211 0.216667 3 0 10800 4165 3270 381 514 2154 75 75 74 2210 56 74 82 587 581 6
1777656211 0.216667 3 0 10950 4190 3295 381 514 2477 1472 1472 1471 2278 2 1471 13 597 591 6
1777656211 0.216667 3 0 11100 4261 3366 381 514 2474 1322 1322 1321 2279 55 1321 85 604 598 6
1777656211 0.233333 3 0 11250 4322 3419 389 514 2473 1172 1172 1171 2314 101 1171 114 613 607 6
1777656211 0.233333 3 0 11400 4377 3474 389 514 2472 1022 1022 1021 2343 140 1021 163 620 614 6
1777656211 0.233333 3 0 11550 4399 3496 389 514 2470 872 872 871 2405 147 871 154 628 622 6
1777656211 0.233333 3 0 11700 4480 3561 393 526 2467 722 722 721 2415 192 721 209 636 630 6
1777656211 0.233333 3 0 11850 4510 3579 405 526 2510 772 772 771 2463 16 771 16 644 638 6
1777656211 0.233333 3 0 12000 4573 3642 405 526 2519 663 663 662 2480 30 662 61 652 646 6
1777656211 0.233333 3 0 12150 4601 3670 405 526 2517 513 513 512 2537 55 512 64 660 654 6
1777656211 0.233333 3 0 12300 4681 3734 409 538 2519 363 363 362 2564 110 362 136 667 661 6
1777656211 0.233333 3 0 12450 4744 3789 417 538 2515 213 213 212 2584 162 212 182 676 670 6
1777656211 0.233333 3 0 12600 4803 3848 417 538 2548 263 263 262 2585 13 262 75 682 676 6
1777656211 0.233333 3 0 12750 4855 3900 417 538 2547 113 113 112 2620 45 112 69 691 685 6
